Year,Province,Gender,AgeBin,Population,weight,two_sigma
2008,Southern,Female,[40:45),96893,,19379
2008,Southern,Female,[45:50),78376,,15675
2008,Southern,Female,[50:55),64498,,12900
2008,Southern,Female,[55:60),65611,,13122
2008,Southern,Female,[60:65),44489,,8898
2008,Southern,Female,[65:70),36079,,7216
2008,Southern,Female,[70:75),26307,,5261
2008,Southern,Female,[75:80),29627,,5925
2008,Southern,Female,[80:85),17390,,3478
2008,Southern,Female,[85:90),13211,,2642
2008,Southern,Female,[90:100),7907,,1581
