"Tr_year_binned","Age_bin","mean.plhiv.total","mean.plhiv.males","mean.plhiv.females","mean.hivdeaths.total","mean.hivdeaths.males","mean.hivdeaths.females","Undiagnosed.total","Undiagnosed.m","Undiagnosed.f","Diagnosed_noART.total","Diagnosed_noART.m","Diagnosed_noART.f","Onart.under6mo.firstinit.under200.total","Onart.under6mo.firstinit.under200.m","Onart.under6mo.firstinit.under200.f","Onart.under6mo.firstinit.over200.total","Onart.under6mo.firstinit.over200.m","Onart.under6mo.firstinit.over200.f","OnART.afterInterrupt.under6mo.under200.total","OnART.afterInterrupt.under6mo.under200.m","OnART.afterInterrupt.under6mo.under200.f","OnART.afterInterrupt.under6mo.over200.total","OnART.afterInterrupt.under6mo.over200.m","OnART.afterInterrupt.under6mo.over200.f","OnART.VL.Supp.total","OnART.VL.Supp.m","OnART.VL.Supp.f","OnART.VL.NoSupp.total","OnART.VL.NoSupp.m","OnART.VL.NoSupp.f","OnART.under6mo.VL.Supp.total","OnART.under6mo.VL.Supp.m","OnART.under6mo.VL.Supp.f","OnART.under6mo.VL.NoSupp.total","OnART.under6mo.VL.NoSupp.m","OnART.under6mo.VL.NoSupp.f","OnART.over6mo.VL.Supp.total","OnART.over6mo.VL.Supp.m","OnART.over6mo.VL.Supp.f","OnART.over6mo.VL.NoSupp.total","OnART.over6mo.VL.NoSupp.m","OnART.over6mo.VL.NoSupp.f","DropOut.total","DropOut.m","DropOut.f","DropOut.first.total","DropOut.first.m","DropOut.first.f","DropOut.subseq.under6mo.total","DropOut.subseq.under6mo.m","DropOut.subseq.under6mo.f","DropOut.subseq.over6mo.total","DropOut.subseq.over6mo.m","DropOut.subseq.over6mo.f"
2016,60,21062.376102647613,11360.362044673278,9702.014057974335,598.9411617990737,361.4478399049325,237.49332189414122,73.47413411332722,54.81695301549023,18.657181097836997,23.741591887308605,17.137445039519417,6.604146847789187,7.762232448909259,7.378260322483471,0.383972126425788,0.3774268891491442,0.3774268891491442,0,65.28905112494141,51.191859846409166,14.097191278532238,5.452552265372573,5.06672447786207,0.3858277875105031,222.64240908588098,174.4681800723502,48.17422901353077,19.36020948572878,15.171146093247842,4.189063392480937,72.57076171010259,58.89312981303154,13.677631897071047,6.3105010182697905,5.121141722872308,1.1893592953974823,150.07164737577838,115.57505025931866,34.496597116459725,13.04970846745899,10.050004370375534,2.9997040970834545,105.7122367680539,79.66746415388604,26.04477261416786,61.471512151611535,49.79637793856503,11.675134213046505,10.826011060925135,8.509584628224431,2.3164264327007027,33.41471355551723,21.36150158709658,12.053211968420655
2017,60,23483.096178493168,12587.104827988387,10895.99135050478,555.8688716481852,349.17011149192814,206.69876015625707,57.0564551375154,40.048787532647424,17.00766760486798,18.306095794174187,14.43681701395863,3.8692787802155593,5.080163695542049,4.301154419082943,0.7790092764591062,0.7710853948671961,0.7710853948671961,0,64.31661105168968,49.58006512607705,14.736545925612617,8.534857190319,7.353572404581101,1.1812847857378996,235.04263715907825,176.56657355793885,58.476063601139394,20.438490187745934,15.353615091994683,5.084875095751252,72.40649994582448,57.045407157039634,15.361092788784854,6.296217386593433,4.960470187568664,1.33574719902477,162.63613721325376,119.52116640089923,43.114970812354535,14.142272801152501,10.39314490442602,3.749127896726481,110.95747190485217,77.00288629393118,33.954585610920994,58.267567665220184,41.852215812503644,16.415351852716537,12.082471697272029,9.35650988545685,2.7259618118151794,40.60743254235996,25.794160595970684,14.813271946389273
2018,60,25793.40560273166,13655.289079249105,12138.116523482555,528.0418190527413,314.29335844670265,213.7484606060386,45.76077625025778,32.158612312922656,13.602163937335122,14.613218150776055,11.914156177796688,2.6990619729793672,7.346862554807194,5.830656935797737,1.5162056190094562,0.3905072954359753,0.3905072954359753,0,85.83022270952537,66.77764699815118,19.052575711374185,9.688135241691711,6.6030047712065985,3.085130470485112,259.9755310351148,201.25702955709343,58.71850147802135,22.60656791609694,17.500611265834213,5.105956650262726,94.99526957734344,73.23367072054418,21.761598856799253,8.26045822411682,6.36814528004732,1.8923129440695003,164.98026145777135,128.02335883654925,36.9569026212221,14.346109691980118,11.132465985786892,3.213643706193226,122.06554940180095,82.7247361049099,39.340813296891056,53.25380512572774,39.63551663880898,13.618288486918754,10.90734944200074,6.209226111205921,4.698123330794819,57.90439483407247,36.879993354894985,21.024401479177484
2019,60,27894.085574239554,14594.776396641717,13299.30917759784,518.5325935369192,305.3160056683889,213.21658786853033,38.31834544286834,30.591275299784233,7.727070143084106,7.782358314445916,4.676975756355927,3.105382558089988,7.765579581438217,5.430316265605532,2.3352633158326856,0.39394073085528125,0.39394073085528125,0,101.09996155146348,76.96618188116366,24.13377967029982,11.808149219938842,9.813188270392061,1.9949609495467817,296.0503020496583,227.24631215284978,68.80398989680849,25.74350452605724,19.7605488828565,5.982955643200738,111.38222059700017,85.19533697617521,26.186883620824947,9.685410486695666,7.4082901718413225,2.277120314854343,184.6680814526581,142.05097517667457,42.617106275983545,16.058094039361574,12.352258711015178,3.705835328346395,115.78632062715585,77.81212007172648,37.974200555429356,45.260672884612184,32.33323243312983,12.927440451482356,17.09941219696689,11.665388303995,5.43402389297189,53.42623554557677,33.81349933460166,19.612736210975108
2020,60,28775.891389909808,14906.278612629918,13869.61277727989,499.8006989879755,279.8324868084285,219.96821217954704,32.52502943070105,25.086483697145127,7.438545733555923,6.643611210677274,4.312553852052425,2.331057358624848,3.1254416124658073,2.7378043158574616,0.3876372966083459,0,0,0,100.46399863023039,72.00639047327095,28.45760815695943,9.36296254286612,4.741693147010546,4.621269395855574,315.117726538284,239.43510623409765,75.68262030418632,27.40154143811165,20.820444020356316,6.581097417755332,103.91621056271734,73.12701690124786,30.789193661469486,9.036192222844985,6.358871034891117,2.677321187953868,211.20151597556662,166.3080893328498,44.89342664271683,18.36534921526666,14.4615729854652,3.9037762298014638,106.33612567716841,74.84289212469683,31.49323355247158,40.29858655163397,30.190860626595562,10.10772592503841,15.603463505411323,10.152634474647959,5.450829030763365,50.434075620123124,34.49939702345332,15.934678596669803
2021,60,32010.05757158197,16495.271856328298,15514.78571525367,506.70129925089043,287.3113380301541,219.3899612207363,27.56475631771864,19.07101080783356,8.493745509885084,6.9921840994652795,5.071033909304157,1.9211501901611225,3.9048969749856686,2.7311208074337716,1.173776167551897,0.38584050130984227,0.38584050130984227,0,119.41772496143882,89.37656646816764,30.04115849327119,13.66174011228019,10.13658205394129,3.525158058338902,337.10728507674264,256.74129569110767,80.36598938563496,29.31367696319501,22.325330060096316,6.988346903098693,126.38058634601337,94.41970104438434,31.96088530162903,10.989616204001162,8.210408786468204,2.7792074175329593,210.72669873072925,162.32159464672333,48.405104084005934,18.32406075919385,14.114921273628115,4.209139485565733,127.7302404423696,83.01071997473254,44.719520467637054,45.374663272626464,31.377734285107387,13.996928987519077,11.252647490585217,7.778148850636949,3.4744986399482674,71.10292967915792,43.854836838988206,27.24809284016971
2022,60,35633.06141668453,18216.89758930602,17416.16382737851,520.8663755880216,289.4571689408719,231.4092066471497,29.932329964436153,17.867155133994714,12.065174830441439,5.0455481733644305,3.091673759792789,1.9538744135716417,3.9081599535853497,3.4984668312751364,0.4096931223102133,0.40491159434489676,0.40491159434489676,0,141.35362332663126,107.04172531516896,34.311898011462304,12.811812993080894,10.102659642693567,2.709153350387327,370.7771481108025,286.26436489505255,84.51278321574996,32.24149114006978,24.892553469135002,7.348937670934779,145.80022723823103,111.36394231280396,34.43628492542705,12.678280629411391,9.683821070678604,2.9944595587327876,224.9769208725715,174.90042258224858,50.07649829032291,19.56321051065839,15.208732398456398,4.354478112201992,143.82776962694194,90.87225607536415,52.955513551577795,40.31175278311746,26.32059758405259,13.991155199064876,16.952781987574124,10.395250003667275,6.5575319839068476,86.56323485625035,54.156408487644285,32.40682636860607
2023,60,39965.34594506349,20362.856603538712,19602.48934152478,538.7878445161815,294.0929096493491,244.69493486683243,28.93563804261848,21.158841312528292,7.776796730090187,3.5148844255899796,1.9693114077614298,1.5455730178285498,4.682442693235394,3.8967215670202626,0.785721126215132,0.39437858774790757,0.39437858774790757,0,144.41555736987712,103.56019209796872,40.85536527190838,15.714489701655909,10.182963438526366,5.531526263129542,429.7515214947708,307.5210515078031,122.23046998696768,37.369697521284415,26.74096100067853,10.628736520605884,151.99031888431503,108.5915152359622,43.39880364835281,13.216549468201306,9.442740455301061,3.7738090129002444,277.76120261045577,198.9295362718409,78.83166633861487,24.153148053083108,17.29822054537747,6.85492750770564,161.5178271204705,102.13679409099487,59.38103302947565,46.18654613222586,31.0074612656816,15.179084866544258,17.770024119268058,11.256099471155625,6.5139246481124315,97.56125686897661,59.87323335415765,37.688023514818966
2024,60,44958.62770334384,22772.477134090306,22186.15056925353,628.43987728198,338.02818394355546,290.4116933384246,23.99308623054669,17.006768039204747,6.986318191341946,3.4949474387231505,1.9327871599777662,1.5621602787453843,1.9318542160152263,1.5632047884962572,0.368649427518969,0.7905205734390526,0.7905205734390526,0,159.27728909040275,120.32818223945814,38.94910685094461,19.0703593290194,14.785225982415701,4.2851333466037005,463.44178936662524,353.5092953093299,109.93249405729534,40.299286031880456,30.739938722550423,9.559347309330029,166.58442135216632,126.46976289710443,40.1146584550619,14.485601856710115,10.997370686704732,3.4882311700053825,296.8573680144589,227.03953241222547,69.81783560223344,25.81368417517034,19.742568035845693,6.071116139324647,177.75025518163517,118.55576410432475,59.19449107731043,43.545223654361195,32.26802178100156,11.277201873359639,20.47708852113699,16.193688525501035,4.283399995635958,113.727943006137,70.09405379782216,43.633889208314834
2025,60,51691.3293846772,26012.824838932254,25678.504545744945,627.9029070979739,329.7589476087921,298.1439594891818,26.35351248870115,19.340950662312085,7.012561826389064,3.8725085308325764,2.321001243145795,1.5515072876867815,2.333678851866445,1.9492402783194098,0.384438573547035,0,0,0,185.06903892629055,141.0602104944306,44.00882843185995,25.03646275814992,16.456145082742985,8.580317675406935,535.6859159020154,405.75611963999677,129.92979626201858,46.58138399147959,35.283140838260586,11.298243153219007,195.44404609340236,146.70834818705356,48.73569790634881,16.995134442904554,12.75724766843944,4.237886774465114,340.241869808613,259.0477714529432,81.19409835566978,29.58624954857504,22.525893169821146,7.060356378753894,198.96830598599203,129.85608667072484,69.11221931526718,44.74925241387874,32.331561462521634,12.417690951357114,23.74742562920357,17.162079106891333,6.585346522312236,130.47162794290972,80.36244610131187,50.10918184159783
