"Year","mean.pop.males","mean.pop.females","mean.pop.overall","mean.prev.males","mean.prev.females","mean.prev.overall","mean.new.infections","mean.new.infections.females","mean.new.infections.overall","mean.plhiv.diagnosed.males","mean.plhiv.diagnosed.females","mean.plhiv.diagnosed.overall","mean.plhiv.onart.males","mean.plhiv.onart.females","mean.plhiv.onart.overall"
2013.5,3890850.6749115293,3938216.619102572,7829067.294014102,0.08415199781980362,0.11807459400631962,0.10111329591306162,18308.07198181098,25106.56771586381,21707.319848837393,0.6509863806220412,0.8469790275825217,0.8469790275825217,0.8005137368598595,0.8469790275825217,0.8469790275825217
2014.5,4028833.996563337,4078998.904597283,8107832.901160619,0.0823907043990352,0.11701714038447929,0.09970392239175724,16838.578885125808,22807.174357309144,19822.876621217474,0.7033905349069796,0.8702246020456516,0.8702246020456516,0.8296169519390261,0.8702246020456516,0.8702246020456516
2015.5,4175063.0112880263,4229998.350724217,8405061.362012243,0.08085383494567194,0.11610989964350187,0.0984818672945869,15572.949556892927,22157.736014087975,18865.34278549045,0.7479091369354756,0.887259800995724,0.887259800995724,0.8500658739719945,0.887259800995724,0.887259800995724
2016.5,4319536.291696747,4378445.996167277,8697982.287864024,0.07938995227951874,0.11532160449899656,0.09735577838925764,14886.426349691526,21212.265872810513,18049.34611125102,0.7867635450350888,0.8993733684888865,0.8993733684888865,0.860729736420133,0.8993733684888865,0.8993733684888865
2017.5,4473847.685737226,4537391.441679748,9011239.127416974,0.0776584312382771,0.11419122618903765,0.09592482871365737,13996.934475475526,20770.694537462256,17383.81450646889,0.8187643602502012,0.9098182138963072,0.9098182138963072,0.871082135281408,0.9098182138963072,0.9098182138963072
2018.5,4637663.020938999,4704677.700412173,9342340.72135117,0.07568954081968614,0.11260866441757776,0.09414910261863195,13255.197487581507,19061.203055283768,16158.200271432637,0.8460578413951513,0.9211111367363064,0.9211111367363064,0.8817179373945019,0.9211111367363064,0.9211111367363064
2019.5,4809484.452660011,4882091.377771384,9691575.830431396,0.07384672831565448,0.11086785347249427,0.09235729089407436,13406.665741604975,18746.127209513448,16076.396475559211,0.8662343848436745,0.9297011105549265,0.9297011105549265,0.8901329058357785,0.9297011105549265,0.9297011105549265
2020.5,4990100.71375332,5069234.435450904,10059335.149204224,0.0718911275865475,0.10878457126129445,0.09033784942392098,12488.91878013386,18212.926609355687,15350.922694744773,0.8844414317235483,0.9358737152299285,0.9358737152299285,0.8979949242579953,0.9358737152299285,0.9358737152299285
2021.5,5170466.893263338,5252952.25074547,10423419.144008808,0.06989620456174113,0.10698108060574374,0.08843864258374243,12507.232667336066,18349.174576790767,15428.203622063416,0.8984905871086167,0.9411598406467562,0.9411598406467562,0.9029157840159281,0.9411598406467562,0.9411598406467562
2022.5,5361267.964869122,5445386.568945915,10806654.533815037,0.06801664588552236,0.10495732517789134,0.08648698553170685,12217.776446802163,17781.48878371916,14999.632615260663,0.9097056977738454,0.9440545761522672,0.9440545761522672,0.9048867395836766,0.9440545761522672,0.9440545761522672
2023.5,5560592.803024839,5646201.086373897,11206793.889398735,0.06616966780088297,0.1028951730223396,0.08453242041161128,12405.020255845915,17262.881319920143,14833.950787883028,0.9184783248342515,0.9477940557171934,0.9477940557171934,0.9058432443457749,0.9477940557171934,0.9477940557171934
2024.5,5767363.47496754,5857061.18878869,11624424.663756229,0.06448505117028411,0.10068038598816832,0.08258271857922621,12355.372306045178,17583.203885146428,14969.288095595803,0.9249327680841395,0.9509941438489138,0.9509941438489138,0.9064580488870292,0.9509941438489138,0.9509941438489138
2025.5,5987100.074032874,6081207.628143858,12068307.702176733,0.0628997244557031,0.09866404163540571,0.0807818830455544,12864.74778359133,17699.54527964757,15282.14653161945,0.9286645631958013,0.9522490567151328,0.9522490567151328,0.9067816980682798,0.9522490567151328,0.9522490567151328
2026.5,6182170.933496063,6279707.010467346,12461877.943963408,0.06134156679342174,0.09673071741061201,0.07903614210201687,12454.449906934926,17881.164619904353,15167.80726341964,0.9353278072009611,0.9538959674915993,0.9538959674915993,0.9073145096407368,0.9538959674915993,0.9538959674915993
2027.5,6379351.3349230485,6479452.174083463,12858803.509006511,0.059774006373870536,0.09480711449422112,0.07729056043404584,12531.210049381476,17760.00990603929,15145.609977710383,0.9394884695512076,0.9559271550985855,0.9559271550985855,0.9072441608020191,0.9559271550985855,0.9559271550985855
