"Death_year","Age_bin","mean.plhiv.total","mean.plhiv.males","mean.plhiv.females","mean.hivdeaths.total","mean.hivdeaths.males","mean.hivdeaths.females","Undiagnosed.total","Undiagnosed.m","Undiagnosed.f","DiagnosedNoARTInit.total","DiagnosedNoARTInit.m","DiagnosedNoARTInit.f","OnART.Under6.firstinit.under200.total","OnART.Under6.firstinit.under200.m","OnART.Under6.firstinit.under200.f","OnART.Under6.firstinit.over200.total","OnART.Under6.firstinit.over200.m","OnART.Under6.firstinit.over200.f","OnART.reinit6mo.under200.total","OnART.reinit6mo.under200.m","OnART.reinit6mo.under200.f","OnART.reinit6mo.over200.total","OnART.reinit6mo.over200.m","OnART.reinit6mo.over200.f","OnART.VL.no.total","OnART.VL.no.m","OnART.VL.no.f","OnART.VL.supp.total","OnART.VL.supp.m","OnART.VL.supp.f","OnART.6mo.VL.no.total","OnART.6mo.VL.no.m","OnART.6mo.VL.no.f","OnART.6mo.VL.supp.total","OnART.6mo.VL.supp.m","OnART.6mo.VL.supp.f","OnART.over6mo.VL.no.total","OnART.over6mo.VL.no.m","OnART.over6mo.VL.no.f","OnART.over6mo.VL.supp.total","OnART.over6mo.VL.supp.m","OnART.over6mo.VL.supp.f","ART.interrupt.any.total","ART.interrupt.any.m","ART.interrupt.any.f","ART.interrupt.1st.total","ART.interrupt.1st.m","ART.interrupt.1st.f","ART.interrupt.second.under6mototal","ART.interrupt.second.under6mom","ART.interrupt.second.under6mof","ART.interrupt.second.over6mototal","ART.interrupt.second.over6mom","ART.interrupt.second.over6mof","OnART.all.under200total","OnART.all.under200m","OnART.all.under200f","OnART.all.over200total","OnART.all.over200m","OnART.all.over200f","OnART.under6mo.under200total","OnART.under6mo.under200m","OnART.under6mo.under200f","OnART.under6mo.over200total","OnART.under6mo.over200m","OnART.under6mo.over200f","OnART.over6mo.under200total","OnART.over6mo.under200m","OnART.over6mo.under200f","OnART.over6mo.over200total","OnART.over6mo.over200m","OnART.over6mo.over200f","psf","sim.id"
2016,75,1249.8035673188226,672.3671968602785,577.4363704585442,19.706673170453985,7.772817119354595,11.93385605109939,0,0,0,3.968401681014031,0,3.968401681014031,7.883267757109827,3.8862150680384997,3.997052689071327,0,0,0,3.968401681014031,0,3.968401681014031,3.8866020513160953,3.8866020513160953,0,15.738271489439953,7.772817119354595,7.965454370085358,0,0,0,7.85461674905253,3.8862150680384997,3.968401681014031,0,0,0,0,0,0,7.883654740387422,3.8866020513160953,3.997052689071327,0,0,0,0,0,0,0,0,0,0,0,0,15.738271489439953,7.772817119354595,7.965454370085358,15.738271489439953,7.772817119354595,7.965454370085358,3.8862150680384997,3.8862150680384997,0,0,0,0,11.852056421401453,3.8866020513160953,7.965454370085358,0,0,0,97.75083197331611,13
2017,75,1422.929766609887,781.6916419248015,641.2381246850855,39.26214011748125,19.901650203022896,19.360489914458356,0,0,0,3.805218926706675,0,3.805218926706675,15.634079649050612,7.963567788491995,7.6705118605586176,0,0,0,8.094105184946779,4.098939077468816,3.995166107477964,7.8391433370620875,7.8391433370620875,0,23.829896305449637,16.0120571833078,7.817839122141837,0,0,0,7.944716424824954,7.944716424824954,0,0,0,0,0,0,0,15.885179880624683,8.067340758482846,7.817839122141837,11.627024885324937,3.889593019715097,7.737431865609841,3.847838845894744,0,3.847838845894744,0,0,0,7.779186039430194,3.889593019715097,3.889593019715097,19.880345988102647,12.06250686596081,7.817839122141837,19.880345988102647,12.06250686596081,7.817839122141837,3.995166107477964,3.995166107477964,0,0,0,0,15.885179880624683,8.067340758482846,7.817839122141837,3.9495503173469904,3.9495503173469904,0,97.75083197331611,13
2018,75,1652.739542390422,893.6928316378784,759.0467107525436,35.83994931141832,27.657319653961366,8.182629657456959,0,0,0,7.7338507693309815,7.7338507693309815,0,11.919455965373633,11.919455965373633,0,4.098939077468816,0,4.098939077468816,4.083690579988143,0,4.083690579988143,0,0,0,15.891155505763368,11.807464925775227,4.083690579988143,0,0,0,4.083690579988143,0,4.083690579988143,0,0,0,0,0,0,11.807464925775227,11.807464925775227,0,12.214943036323973,8.116003958855158,4.098939077468816,12.214943036323973,8.116003958855158,4.098939077468816,0,0,0,0,0,0,15.891155505763368,11.807464925775227,4.083690579988143,15.891155505763368,11.807464925775227,4.083690579988143,0,0,0,0,0,0,15.891155505763368,11.807464925775227,4.083690579988143,0,0,0,97.75083197331611,13
2019,75,1886.8111459051006,994.9590340195127,891.8521118855878,35.45069179180722,23.31490895081691,12.135782840990316,0,0,0,0,0,0,12.053596228014785,3.8862150680384997,8.167381159976285,3.7376438292031535,3.7376438292031535,0,4.098939077468816,4.098939077468816,0,3.968401681014031,0,3.968401681014031,15.80648855469861,11.722797974710469,4.083690579988143,0,0,0,7.969905648026642,3.8862150680384997,4.083690579988143,0,0,0,0,0,0,7.836582906671969,7.836582906671969,0,19.644203237108616,11.592110976106442,8.052092261002173,15.675801556094584,11.592110976106442,4.083690579988143,0,0,0,3.968401681014031,0,3.968401681014031,15.80648855469861,11.722797974710469,4.083690579988143,15.80648855469861,11.722797974710469,4.083690579988143,7.969905648026642,3.8862150680384997,4.083690579988143,0,0,0,7.836582906671969,7.836582906671969,0,0,0,0,97.75083197331611,13
2020,75,2145.408021475704,1098.6240386000418,1046.7839828756626,54.98040760727466,27.497546552203325,27.482861055071336,0,0,0,3.7376438292031535,0,3.7376438292031535,11.741656748459905,11.741656748459905,0,4.004525561591208,0,4.004525561591208,15.851098644561876,4.098939077468816,11.75215956709306,0,0,0,39.39955257039099,23.642867441706723,15.756685128684268,0,0,0,15.87324786760462,8.07063861785855,7.8026092497460695,0,0,0,0,0,0,23.52630470278637,15.572228823848171,7.954075878938199,11.843211207680513,3.8546791104966007,7.988532097183913,7.988532097183913,0,7.988532097183913,0,0,0,3.8546791104966007,3.8546791104966007,0,39.39955257039099,23.642867441706723,15.756685128684268,39.39955257039099,23.642867441706723,15.756685128684268,3.9716995403897357,3.9716995403897357,0,0,0,0,35.42785303000125,19.671167901316988,15.756685128684268,0,0,0,97.75083197331611,13
2021,75,2538.1090583798905,1306.2955485702832,1231.813509809607,31.95926836641354,19.890423640918083,12.068844725495458,0,0,0,4.083690579988143,0,4.083690579988143,0,0,0,0,0,0,3.9495503173469904,3.9495503173469904,0,0,0,0,19.69294812896844,15.80673306092994,3.8862150680384997,0,0,0,3.9495503173469904,3.9495503173469904,0,0,0,0,0,0,0,15.743397811621449,11.85718274358295,3.8862150680384997,8.182629657456959,4.083690579988143,4.098939077468816,8.182629657456959,4.083690579988143,4.098939077468816,0,0,0,0,0,0,19.69294812896844,15.80673306092994,3.8862150680384997,19.69294812896844,15.80673306092994,3.8862150680384997,0,0,0,0,0,0,19.69294812896844,15.80673306092994,3.8862150680384997,0,0,0,97.75083197331611,13
2022,75,3008.312775322025,1549.4674608452,1458.845314476825,19.605307485260084,15.57299410639307,4.032313378867015,0,0,0,4.032313378867015,0,4.032313378867015,0,0,0,0,0,0,7.917951998361022,7.917951998361022,0,3.889593019715097,3.889593019715097,0,15.57299410639307,15.57299410639307,0,0,0,0,3.968401681014031,3.968401681014031,0,0,0,0,0,0,0,11.604592425379039,11.604592425379039,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57299410639307,15.57299410639307,0,15.57299410639307,15.57299410639307,0,0,0,0,0,0,0,15.57299410639307,15.57299410639307,0,0,0,0,97.75083197331611,13
2023,75,3459.2532986538886,1740.993874124284,1718.2594245296043,51.25868404540907,35.520429894768355,15.738254150640715,0,0,0,0,0,0,4.01519068656307,4.01519068656307,0,0,0,0,0,0,0,19.69223377084218,7.840194688239962,11.852039082602216,7.837863701226944,4.01519068656307,3.8226730146638737,0,0,0,0,0,0,0,0,0,0,0,0,7.837863701226944,4.01519068656307,3.8226730146638737,43.42082034418213,31.505239208205285,11.915581135976842,8.052092261002173,8.052092261002173,0,0,0,0,35.36872808317995,23.453146947203113,11.915581135976842,7.837863701226944,4.01519068656307,3.8226730146638737,7.837863701226944,4.01519068656307,3.8226730146638737,0,0,0,0,0,0,7.837863701226944,4.01519068656307,3.8226730146638737,0,0,0,97.75083197331611,13
2024,75,3942.4154555566397,1953.1233233621651,1989.2921321944743,62.154139792757455,39.269049970361145,22.88508982239631,0,0,0,0,0,0,7.793405682690924,7.793405682690924,0,0,0,0,7.769957208070169,4.032313378867015,3.7376438292031535,15.357560064423392,7.744272130211698,7.613287934211694,27.279334561362525,23.541690732159374,3.7376438292031535,0,0,0,15.449640320243663,11.711996491040509,3.7376438292031535,0,0,0,0,0,0,11.829694241118863,11.829694241118863,0,34.87480523139493,15.727359238201771,19.147445993193156,19.34356529882221,7.80940723984075,11.534158058981461,0,0,0,15.531239932572715,7.917951998361022,7.613287934211694,23.424655450865927,19.687011621662773,3.7376438292031535,23.424655450865927,19.687011621662773,3.7376438292031535,3.825004001676893,3.825004001676893,0,0,0,0,19.599651449189032,15.86200761998588,3.7376438292031535,3.8546791104966007,3.8546791104966007,0,97.75083197331611,13
2025,75,4550.112569351094,2282.5102709718517,2267.602298379242,42.551028350341056,27.192253272960297,15.358775077380757,0,0,0,0,0,0,3.76095395634927,3.76095395634927,0,0,0,0,11.794909649703534,4.083690579988143,7.711219069715392,0,0,0,27.366408736514607,15.76858761548312,11.597821121031489,0,0,0,3.8862150680384997,0,3.8862150680384997,0,0,0,0,0,0,23.480193668476108,15.76858761548312,7.711606052992988,15.184619613826447,11.423665657477178,3.76095395634927,3.76095395634927,3.76095395634927,0,0,0,0,11.423665657477178,7.662711701127908,3.76095395634927,27.366408736514607,15.76858761548312,11.597821121031489,27.366408736514607,15.76858761548312,11.597821121031489,0,0,0,0,0,0,27.366408736514607,15.76858761548312,11.597821121031489,0,0,0,97.75083197331611,13
