"Year","mean.pop.males","mean.pop.females","mean.pop.overall","mean.prev.males","mean.prev.females","mean.prev.overall","mean.new.infections","mean.new.infections.females","mean.new.infections.overall","mean.plhiv.diagnosed.males","mean.plhiv.diagnosed.females","mean.plhiv.diagnosed.overall","mean.plhiv.onart.males","mean.plhiv.onart.females","mean.plhiv.onart.overall"
2010.5,3538256.3561670743,3573910.0143085024,7112166.370475577,0.09420367170387076,0.12777502719599293,0.11098934944993184,24216.576516475492,31758.875783672043,27987.72615007377,0.4489950952838932,0.7690233454969088,0.7690233454969088,0.6387836476476737,0.7690233454969088,0.7690233454969088
2011.5,3647343.797656487,3684717.0553709837,7332060.85302747,0.09184407277339571,0.126265056450109,0.10905456461175235,21384.21713291958,28739.756116931985,25061.986624925783,0.527423083415867,0.8015717512133731,0.8015717512133731,0.7055065158103534,0.8015717512133731,0.8015717512133731
2012.5,3766286.2061345787,3803320.478533166,7569606.684667745,0.08935221602328107,0.12496772738587306,0.10715997170457707,19427.540436123247,26753.286555479586,23090.413495801415,0.5970348754050239,0.8293352829929526,0.8293352829929526,0.7687067531004209,0.8293352829929526,0.8293352829929526
2013.5,3893405.51358102,3933690.519458857,7827096.033039876,0.08716758713753646,0.12388840463966926,0.10552799588860286,18284.506221129726,25009.248199378828,21646.87721025428,0.6577394146008119,0.8533017835749703,0.8533017835749703,0.8122697756940332,0.8533017835749703,0.8533017835749703
2014.5,4032371.916094508,4074542.7171487175,8106914.6332432255,0.08533943364159959,0.12284563530796276,0.10409253447478117,17097.681279971046,23462.377142970345,20280.029211470694,0.7104864472012015,0.874181691107225,0.874181691107225,0.839029087829627,0.874181691107225,0.874181691107225
2015.5,4179008.0912458547,4224252.456536188,8403260.547782043,0.08376286978515708,0.12176370574926718,0.10276328776721214,15564.920588296736,22099.491105508605,18832.20584690267,0.7536980748734122,0.8899189645823914,0.8899189645823914,0.8548764047991944,0.8899189645823914,0.8899189645823914
2016.5,4324605.135462357,4372732.119495108,8697337.254957464,0.08215060985025774,0.1208614897162037,0.10150604978323072,14959.053475704495,21408.763504710136,18183.908490207315,0.7914757545623253,0.9022381687295759,0.9022381687295759,0.8659224449580528,0.9022381687295759,0.9022381687295759
2017.5,4479883.896502239,4531537.067872326,9011420.964374565,0.08035093250200213,0.1193103798860889,0.09983065619404552,14533.49651168656,20397.36568021302,17465.431095949793,0.821727515175316,0.9144198399288593,0.9144198399288593,0.8745364117108996,0.9144198399288593,0.9144198399288593
2018.5,4643844.558098365,4700303.670413607,9344148.228511972,0.07837743500948746,0.1176916316907926,0.09803453335014002,13788.787777767073,19749.804741707587,16769.29625973733,0.8474942769624246,0.9235351329317989,0.9235351329317989,0.88403924062138906,0.9235351329317989,0.9235351329317989
2019.5,4816719.4246555995,4874790.207135884,9691509.631791484,0.07634532140306122,0.11576373761901142,0.09605452951103631,13380.259847028794,19022.879065234512,16201.569456131652,0.8683476315732697,0.9317995861108244,0.9317995861108244,0.8918983787308113,0.9317995861108244,0.9317995861108244
