"","name","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"11","mean.new.infections.females.older",12667.1347504418,13155.1194988433,14237.2243969912,14467.6507928684,15639.0740301915,15620.5891380911,16002.1179286237,16396.9949901265,16282.0059433885,16078.5828058911,16681.7392578966,16932.2172591061,17689.7954594412,18227.7569904571,18107.4848298861,17809.7272734024,18311.3312836886,17981.3609094258,17443.5866165169,15954.0175841272,14918.5280283424,14075.9349917565,13483.4619192401,12570.8002873891,11407.5752211526,11785.3178165295,10885.6040894557,10690.907427852,10538.8427786564,10484.2783903696,10419.0052926293,10038.9065991658,10373.6995964313,10083.8974875283,10709.4399432478,10185.0111141181,10284.1453311524,10765.8343512975,10641.0729633463,10438.8101429276,9707.50862369959,10515.5891055787,10060.6215270013,9942.52256183987,10043.795767704,9670.09981233416,9487.37320545471,9211.94977053269,9455.65713972299,8489.11244888441,8886.17616238564,8533.20359972835,8047.45332984461,7881.79267897287,7783.11628281731,7705.3730245729,6943.55066803945,7031.91807117547,7154.09258432019,6429.41685003286,5826.10187350518
"12","mean.new.infections.overall",51528.8004876905,51318.2469492072,55297.0246295912,57871.7759097422,60507.2236426209,62573.2362217428,63519.1359707728,65773.334375986,63365.531302175,60980.346306805,61619.1032294449,61339.908707631,62332.0807587798,63254.8248189137,62956.7833942501,62366.9733237106,63560.871429508,59636.0567191502,57594.8284836123,52793.5902569838,47619.4394544161,43882.9865743489,41254.78922327,38068.9626243641,34550.9064309316,33574.8745205939,30443.2514034877,29440.1326205651,28227.7709382565,27442.9210988166,25981.574285587,25984.8677389627,25465.8373109798,24131.7500410465,25244.0479348086,24146.5051728254,24349.8210513629,23735.0388950059,23641.4629642826,22761.3566619754,21444.1815529179,21576.6493970187,21341.058738122,20879.348558868,20853.1382167255,19584.1102942706,18855.9179103571,18070.7523073394,17750.2889679551,16613.7774051239,16872.4468196312,16294.4063743187,15753.0094210945,14427.6573451503,14208.8440925364,14101.2224282725,12811.8386744661,12741.4105587113,13147.9045258439,11901.4583982223,10679.4795426443
"13","mean.hivdeaths.males",5001.6220795787,5466.07927198069,7144.69022332109,8324.10506923856,9654.75974403477,11133.0051729194,13266.0425239989,14088.8738024784,15992.9276166235,17744.1628629628,19472.6209620263,20445.1921290184,21443.0895891972,23279.5859897442,24297.0092607932,25159.2999292286,25747.7371446854,25674.460268667,24495.5638533008,22087.0321056613,19811.4661260623,17576.5486841568,14913.303258015,12339.5266083157,10259.3403111442,9120.99686946279,7965.6575102446,7070.26932054407,6552.05516324778,6360.0169116835,5936.45662497412,5497.12972199203,5474.28886962395,5212.66462231125,4974.28462062337,4883.26135129529,4948.41469833988,4654.72517737594,4722.00182948231,4669.08802990912,4692.62687473165,4735.98518367403,4688.83195915231,4522.20681930531,4842.78287252171,4639.25891458858,4610.23653975377,4981.11797420442,4738.11122626371,4656.42992887018,4861.59781615711,4974.70669878721,4810.86390237162,4771.15782040463,5076.68719120852,4717.34001205242,4632.00944784915,4584.8568356524,4681.75674330408,4722.76687830727,4566.3147922612
"14","mean.hivdeaths.females",4857.06540747845,5462.74930860744,6669.99405003835,8627.29907060503,9736.79226597676,11932.1406139669,13745.1248790326,15666.6668025198,17014.5267845889,18681.379804317,20320.2603151036,22151.8736551966,23977.4431790371,26017.8703377492,26725.5066817088,26739.6034769815,27165.555064885,27925.4177711234,26487.2001813461,23797.1657409707,20657.1467639874,17001.0464965138,14316.2063711462,10950.1120870257,8704.58137967846,7420.06182702952,6268.53675082216,5772.85835096499,5187.00079582963,5524.59227764258,5212.02554157502,5142.36859486744,5098.08063613191,5143.80230956666,5046.40373763124,5150.67951148994,5839.43371239725,5622.30731768132,5735.21700397949,5956.94176139006,5980.99989563178,5974.2759306854,6230.75631131383,6245.89328977668,6536.16741466983,6623.22756928689,6723.48938305983,6872.18227745267,6659.13480929049,7232.66593404062,6804.8278310829,6864.72320969143,6969.89463095232,7165.52748894324,7126.48714487366,7115.4402869653,7058.06735730865,7302.81600902971,7464.84596819298,7297.62198492994,7172.26304339967
"15","mean.hivdeaths.children",5420.17422645464,5580.55391939091,6449.27776289841,6971.15090196377,7802.41455573876,8616.50020225786,9385.52013588004,10215.0852517275,10718.9915744684,12096.6664282455,12366.1358457603,11840.0634965973,9042.02683778002,7669.55996530179,7325.16040165587,6810.72055903028,7427.7662833374,7078.77122347366,7166.75551821898,6994.10849545963,6238.86697843612,4732.87122370186,3878.9130179923,2846.41968524043,2059.49755844586,1880.75013441619,1543.51265661015,1313.10824055188,1216.98311644146,1179.31859678513,1141.62715693063,1024.88775740592,909.355202227973,857.075825150418,824.973895403686,724.282053596372,705.110395439283,615.926666041602,574.166790663404,493.274485501716,548.914895192397,516.201832997805,466.412609641962,352.47440349953,419.281575700773,398.843240520276,371.711420152988,301.71996516442,355.457920083547,269.879340864363,305.927252068557,292.670262475064,299.913388357615,281.255838599625,206.591692528451,191.626075439703,207.621701776707,223.159346337909,133.316219777543,173.689611997584,136.71790967966
"16","mean.hivdeaths.overall",15278.8617135118,16509.382499979,20263.9620362579,23922.5550418074,27193.9665657503,31681.6459891441,36396.6875389115,39970.6258567257,43726.4459756808,48522.2090955253,52159.0171228903,54437.1292808122,54462.5596060143,56967.0162927951,58347.6763441579,58709.6239652404,60341.0584929079,60678.6492632641,58149.5195528659,52878.3063420916,46707.4798684858,39310.4664043724,33108.4226471535,26136.0583805818,21023.4192492685,18421.8088309085,15777.7069176769,14156.2359120609,12956.0390755189,13063.9277861112,12290.1093234798,11664.3860742654,11481.7247079838,11213.5427570283,10845.6622536583,10758.2229163816,11492.9588061764,10892.9591610989,11031.3856241252,11119.3042768009,11222.5416655558,11226.4629473572,11386.0008801081,11120.5745125815,11798.2318628923,11661.3297243957,11705.4373429666,12155.0202168215,11752.7039556377,12158.9752037752,11972.3528993086,12132.1001709537,12080.6719216816,12217.9411479475,12409.7660286106,12024.4063744574,11897.6985069345,12110.83219102,12279.9189312746,12194.0784752348,11875.2957453405
"17","mean.deaths.males",82045.5855386269,76373.9701980639,78009.6694620195,79049.1860174649,80816.8735040345,82575.6585029682,83719.0014312778,85095.0037893569,86685.6860207843,88466.0679743237,91500.3315221575,90573.5933823453,90887.1673175492,91716.0438536819,90197.8205996905,90581.9941806675,89901.7281359057,90177.8214260418,87660.3771708246,85882.7238110492,82930.0035334293,76928.5597978164,74758.3056951956,71713.4496216047,69925.6073235701,68707.2038572225,66873.5348751574,65638.3863973925,66245.4837360952,66708.5049719431,67390.4109408708,66432.399739329,67016.2408711914,67776.1953453648,68561.3874714933,69127.3040654438,69772.3342776373,68974.0700281271,70096.3833788228,70116.1973751307,71256.6203314082,71098.7456199121,71256.9252084019,71890.2120700032,72673.0611440703,73997.2200762049,72693.1450523496,74274.0958789456,75945.4689169015,77602.2351471392,77734.7669008643,78225.3846904444,78484.126142433,81794.2871968787,83178.8583526278,83558.0222837892,85986.6425005959,87524.94103544,89290.9603438901,91913.4844589621,92917.8627836459
"18","mean.deaths.females",79194.8446845146,73088.6958975018,74311.1383716418,75830.0898970872,76497.916036402,79441.8784229812,81011.4870647105,82720.9450682157,84168.9240921559,85374.7491305913,87387.3954875289,87910.4372064687,88034.1848485007,89649.1641239115,89231.3900541768,87606.3519301159,87544.4205564657,86847.2040010933,85591.9504217675,82688.6063612826,79062.5838666222,73238.9249261082,68826.597391087,63990.5852789109,63464.8760628094,61170.7087786127,59587.8243151254,58037.4447753946,58780.3234778261,59033.7811159859,60245.5651415685,60079.0722768492,60912.7228757212,62037.9951655826,62077.791258075,62957.2031123119,63923.750811165,64516.3763504927,64228.3957094844,65270.2866791955,65725.9723100316,65892.5793597627,67315.0088330452,67897.8828771245,68407.140753916,68246.5195153598,67678.5580015987,69664.0157791119,69523.963543266,71106.3948727433,71901.7461765542,70658.9214040243,72975.3806273018,72948.6120151727,74797.0474971295,75263.2752780418,75976.8275517944,76466.107488887,78774.8341352441,80771.4715450577,81202.8322205674
"19","mean.deaths.overall",161240.430223142,149462.666095566,152320.807833661,154879.275914552,157314.789540437,162017.536925949,164730.488495988,167815.948857573,170854.61011294,173840.817104915,178887.727009686,178484.030588814,178921.35216605,181365.207977593,179429.210653867,178188.346110783,177446.148692371,177025.025427135,173252.327592592,168571.330172332,161992.587400052,150167.484723925,143584.903086283,135704.034900516,133390.483386379,129877.912635835,126461.359190283,123675.831172787,125025.807213921,125742.286087929,127635.976082439,126511.472016178,127928.963746913,129814.190510947,130639.178729568,132084.507177756,133696.085088802,133490.44637862,134324.779088307,135386.484054326,136982.59264144,136991.324979675,138571.934041447,139788.094947128,141080.201897986,142243.739591565,140371.703053948,143938.111658057,145469.432460168,148708.630019883,149636.513077418,148884.306094469,151459.506769735,154742.899212051,157975.905849757,158821.297561831,161963.47005239,163991.048524327,168065.794479134,172684.95600402,174120.695004213
"20","mean.prev.males.younger",0.0234774671932425,0.0252179194084647,0.0266726311568757,0.0280283118439743,0.0291202897907306,0.0297864245619961,0.0305416189581197,0.0306409738675682,0.0303153867421024,0.0295569701986848,0.0286308069618199,0.0278391978308836,0.0263898848711211,0.0250871018312364,0.0241675949476343,0.0230930903073725,0.0222346180012618,0.021543822677232,0.0205015150735781,0.0196055964001253,0.0184826099695313,0.0172882558351658,0.0163588300676714,0.0155185058598179,0.0149093273277167,0.0145599979861572,0.0141458704904849,0.0133770772533871,0.0126011803223383,0.0118444165039933,0.0111201800040783,0.0105325212547785,0.0098393276332434,0.00919419187272541,0.00866077635542036,0.00803266324594369,0.00741258558763108,0.00708683555828335,0.00660040506420472,0.00610327445785702,0.00561350151537797,0.00515356402050192,0.00472539835529478,0.00428162994380449,0.00373659865025594,0.00323120468731061,0.00278149996947747,0.0023964568287985,0.00212298034817898,0.00192435603984761,0.0018422042751513,0.00174227581321997,0.00165214409269205,0.00156086910764351,0.00145305236344518,0.00133055936517303,0.00123975421782335,0.00115687967292329,0.00112107393335908,0.00107586368682177,0.000999184927241
